ep,succ,rsn,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
1913,1,timeout,15.0,0.151765376329422,0.058213524520397186,0.003372284583747387,0.006343585439026356,0.006850578660575581,0.1018933653831482,151.0,367.3206481933594
1914,1,timeout,15.0,0.10551907867193222,0.05704670771956444,0.0073911393992602825,0.008813576772809029,0.00643376468262047,0.10155054926872253,147.25,368.7836608886719
1915,1,timeout,15.0,0.15879206359386444,0.06299316883087158,0.0015117801958695054,0.008067815564572811,0.006860985982777927,0.10736808180809021,149.5,365.98236083984375
1916,1,timeout,15.0,0.22408434748649597,0.0767633467912674,0.01872568018734455,0.008334411308169365,0.008042591287323035,0.10702025145292282,147.25,331.973876953125
1917,1,timeout,15.0,0.21758495271205902,0.08120209723711014,0.0016010291874408722,0.006190542131662369,0.008514786724958246,0.10534855723381042,148.0,348.7814025878906
1918,1,timeout,15.0,0.23836128413677216,0.08254184573888779,0.0062982914969325066,0.006377378478646278,0.01118895302736083,0.10287421941757202,149.75,344.3227233886719
1919,1,timeout,15.0,0.2367517203092575,0.08964399248361588,0.011162709444761276,0.006862286478281021,0.007163386209631971,0.11219815909862518,150.0,333.41552734375
1920,1,timeout,15.0,0.14541387557983398,0.05254209041595459,0.006091784685850143,0.006798031274229288,0.005636597552769134,0.11450324952602386,149.5,373.8726806640625
1921,1,timeout,15.0,0.13853980600833893,0.04968895763158798,0.022659601643681526,0.007610299624502659,0.007493651449135691,0.10579179227352142,150.0,366.6867980957031
1922,1,timeout,15.0,0.12335021793842316,0.05252394452691078,0.0010789372026920319,0.00807170569896698,0.006306761890486244,0.10211044549942017,149.5,367.8340148925781
1923,1,timeout,15.0,0.11503791809082031,0.060787275433540344,0.019845381379127502,0.009867742657661438,0.006011432133438559,0.10208876430988312,147.75,359.4504089355469
1924,1,timeout,15.0,0.23214590549468994,0.090408094227314,0.001177217811346054,0.00591489439830184,0.008194504039113305,0.10256142914295197,148.75,338.1521911621094
1925,1,timeout,15.0,0.18983106315135956,0.06465766578912735,0.008458524942398071,0.008314462378621101,0.009433458975605874,0.10394586622714996,152.5,357.418701171875
1926,1,timeout,15.0,0.09790874272584915,0.06427592784166336,0.01975218392908573,0.010140111669898033,0.006602848859913499,0.10335081815719604,142.75,352.75396728515625
1927,1,timeout,15.0,0.2072683572769165,0.07697048783302307,0.007763799745589495,0.00802743248641491,0.009976062764553813,0.10691599547863007,146.25,341.6121520996094
1928,1,timeout,15.0,0.21500837802886963,0.07752329856157303,0.01134135015308857,0.00799061730504036,0.0076243736756032195,0.10323873162269592,148.5,344.1512756347656
1929,1,timeout,15.0,0.15863248705863953,0.058460913598537445,0.004404187202453613,0.006708075292408466,0.007691707428145336,0.10490699112415314,151.0,365.88958740234375
1930,1,timeout,15.0,0.13779732584953308,0.0645134374499321,0.0038252566009759903,0.008079538121819496,0.0061998516311809315,0.10338142514228821,148.5,365.1411437988281
1931,1,timeout,15.0,0.1968134343624115,0.08160236477851868,0.006636404898017645,0.008133869618177414,0.008845794559656086,0.1033824011683464,148.5,343.03265380859375
1932,1,timeout,15.0,0.20162485539913177,0.07347283512353897,0.00180777907371521,0.008479410782456398,0.007885746091942506,0.1039481908082962,148.0,350.6188659667969
1933,1,timeout,15.0,0.1018173024058342,0.06070207431912422,0.00566573441028595,0.010056174360215664,0.005979852114063041,0.10541688650846481,147.75,358.3394470214844
1934,1,timeout,15.0,0.10076457262039185,0.06018676608800888,0.018039604648947716,0.008978140540421009,0.006543921100974563,0.10446339100599289,144.75,359.5514221191406
1935,1,timeout,15.0,0.24427485466003418,0.08925541490316391,0.006989822257310152,0.00542081193998456,0.0073332906465187996,0.10314606875181198,151.25,338.26617431640625
1936,1,timeout,15.0,0.17575205862522125,0.06820069998502731,0.007053093519061804,0.007533631287515163,0.009270186775505998,0.10460332781076431,150.25,348.9906311035156
1937,1,timeout,15.0,0.10061261802911758,0.05983516201376915,0.02406565099954605,0.009105771780014038,0.006972631028925693,0.10235542058944702,146.75,358.4715270996094
1938,1,timeout,15.0,0.1396060734987259,0.05417778715491295,0.0032585521694272757,0.007306463550776243,0.006644878046183422,0.10294272750616074,149.0,373.1114196777344
1939,1,timeout,15.0,0.12442367523908615,0.05170661583542824,0.003126225434243679,0.008190884254872799,0.006055713304976583,0.10431482642889023,148.25,376.6717224121094
1940,1,timeout,15.0,0.14763899147510529,0.052766285836696625,0.013076484203338623,0.00903530977666378,0.006889464112120375,0.10622842609882355,149.5,365.156982421875
1941,1,timeout,15.0,0.17072680592536926,0.06223458796739578,0.003502100706100464,0.00599611084908247,0.007354132142707398,0.10480881482362747,149.0,356.98846435546875
1942,1,timeout,15.0,0.16680403053760529,0.056594111025333405,0.012779094278812408,0.007841017097234726,0.00813935219536031,0.10394685715436935,150.0,368.1419372558594
1943,1,timeout,15.0,0.23807886242866516,0.09769388288259506,0.008947418071329594,0.006359811406582594,0.009179666636281293,0.10349178314208984,150.25,317.60888671875
1944,1,timeout,15.0,0.0999474823474884,0.0659404769539833,0.01788318157196045,0.010341879911720753,0.007933031995781215,0.10528463870286942,144.5,346.2496643066406
1945,1,timeout,15.0,0.1254318803548813,0.04674866423010826,0.0055389697663486,0.007930400781333447,0.005552114369645181,0.10522644221782684,148.0,379.73876953125
1946,1,timeout,15.0,0.168247252702713,0.06186595559120178,0.00414656987413764,0.00672167120501399,0.008352876243449768,0.10384880006313324,150.25,363.85809326171875
1947,1,timeout,15.0,0.21790970861911774,0.07036877423524857,0.004185133147984743,0.007283137179911137,0.0067535039929144695,0.1059148833155632,147.0,352.6012268066406
